330,"Safecracker: The Ultimate Puzzle Adventure",2007,0,0,0,69,0,321,0,4.99,4.99,89854
331,"Lost Horizon",2010,0,1,0,77,0,145,0,9.99,9.99,34794
332,"Galaxy Reavers",2016,0,0,1,0,0,0,0,0,0,4304
333,RealityCapture,2016,0,0,0,0,0,0,0,0,0,0
334,"Unforgiving Trials: The Darkest Crusade",2016,0,0,0,0,0,103,0,4.99,4.99,167333
335,"CASE: Animatronics",2016,0,0,0,0,0,198,7,9.99,9.99,10223
336,QuiVr,2017,0,1,0,0,0,0,0,0,0,0
337,"The Last Look",2016,0,1,0,0,1,0,0,0,0,539
338,"The Last Leviathan",2016,0,0,0,0,0,253,0,9.99,9.99,31207
339,"Hide and Secret Treasure of the Ages",2016,0,0,0,0,0,0,0,2.99,2.99,2152
340,AWA,2016,0,0,0,0,1,0,30,7.99,7.99,6277
